link,title1,title2,genre
https://animetvn.pro/thong-tin-phim/f1694-katekyo-hitman-reborn.html,Katekyo Hitman Reborn,Kateikyoushi Hitman Reborn! | Home Tutor Hitman Reborn!,"['hành động', 'hài hước', 'shounen', 'siêu năng lực']"
https://animetvn.pro/thong-tin-phim/f2452-toriko.html,Toriko,Thợ Săn Ẩm Thực | Toriko (2011) | Toriko (TV) | Toriko x One Piece Collabo Special,"['hành động', 'phiêu lưu', 'hài hước', 'giả tưởng', 'shounen']"
https://animetvn.pro/thong-tin-phim/f5718-mairimashita-iruma-kun.html,Mairimashita! Iruma-kun,Welcome to Demon School! Iruma-kun,"['hài hước', 'giả tưởng', 'siêu nhiên', 'shounen', 'ác quỷ', 'isekai']"
https://animetvn.pro/thong-tin-phim/f1618-high-school-dxd-ban-blu-ray.html,High School DxD,Highschool DxD [BD],"['hành động', 'học đường', 'hài hước', 'ecchi', 'harem', 'tình yêu', 'ác quỷ']"
https://animetvn.pro/thong-tin-phim/f4354-hundred.html,Hundred,ハンドレッド,"['hành động', 'học đường', 'ecchi', 'harem', 'mecha', 'tình yêu', 'viễn tưởng']"
https://animetvn.pro/thong-tin-phim/f5697-shinchou-yuusha-kono-yuusha-ga-ore-tuee-kuse-ni-shinchou-sugiru.html,Shinchou Yuusha: Kono Yuusha ga Ore Tuee Kuse ni Shinchou Sugiru,"This Hero is Invincible but ""Too Cautious"", Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru","['hành động', 'phiêu lưu', 'hài hước', 'giả tưởng', 'isekai']"
https://animetvn.pro/thong-tin-phim/f3286-kiseijuu-sei-no-kakuritsu.html,Kiseijuu: Sei no Kakuritsu,Ký Sinh Trùng | Parasyte: The maxim | Parasite | Parasitic Beasts,"['hành động', 'drama', 'kinh dị', 'tâm lý', 'tragedy', 'viễn tưởng']"
https://animetvn.pro/thong-tin-phim/f4102-shinmai-maou-no-testament-burst-ss2.html,Shinmai Maou no Testament Burst (Ss2),The Testament of Sister New Devil: Burst | Shinmai Maou no Season 2,"['hành động', 'ecchi', 'harem', 'giả tưởng', 'tình yêu']"
https://animetvn.pro/thong-tin-phim/f5183-overlord-ii.html,Overlord II,"Overlord 2, Overlord Season 2","['hành động', 'phiêu lưu', 'giả tưởng', 'phép thuật', 'siêu nhiên', 'game', 'isekai']"
https://animetvn.pro/thong-tin-phim/f5101-nanatsu-no-taizai-imashime-no-fukkatsu-ss2.html,Nanatsu no Taizai: Imashime no Fukkatsu (Ss2),"The Seven Deadly Sins: Revival of The Commandments, Thất hình đại tội Phần 2","['hành động', 'giả tưởng', 'siêu nhiên', 'shounen']"
https://animetvn.pro/thong-tin-phim/f5435-fairy-tail-3-2018-ss3.html,Fairy Tail 3 (2018) (Ss3),"Fairy Tail Season 3, Hội Pháp Sư phần 3","['hành động', 'phiêu lưu', 'hài hước', 'giả tưởng', 'phép thuật', 'shounen']"
https://animetvn.pro/thong-tin-phim/f4245-kono-subarashii-sekai-ni-shukufuku-wo.html,Kono Subarashii Sekai ni Shukufuku wo!,この素晴らしい世界に祝福を！,"['phiêu lưu', 'hài hước', 'giả tưởng', 'tình yêu', 'siêu nhiên', 'isekai']"
https://animetvn.pro/thong-tin-phim/f3501-yu-gi-oh-duel-monster.html,Yu-Gi-Oh! Duel Monster,Vua Trò Chơi Phần 1 | Vua Trò Chơi: Đấu Sĩ Bài Ma | Yu Gi Mutou| Yugi Oh! Duel Monster,"['phiêu lưu', 'shounen', 'game']"
https://animetvn.pro/thong-tin-phim/f2514-pokemon-season-19-xy.html,Pokemon Season 19 : XY,Pocket Monsters XY | Pocket Monsters X-Y,"['hành động', 'phiêu lưu', 'hài hước', 'giả tưởng']"
https://animetvn.pro/thong-tin-phim/f2886-haikyuu.html,Haikyuu!!,High Kyuu!! | Haikyu!!,"['học đường', 'hài hước', 'drama', 'thể thao', 'shounen']"
https://animetvn.pro/thong-tin-phim/f5725-ahiru-no-sora.html,Ahiru no Sora,Ahiru no Sora,"['học đường', 'drama']"
https://animetvn.pro/thong-tin-phim/f4453-masou-gakuen-hxh.html,Masou Gakuen HxH,Hybrid x Heart Magias Academy Ataraxia | Masou Gakuen Hybrid x Heart,"['hành động', 'học đường', 'hài hước', 'ecchi', 'harem', 'giả tưởng', 'tình yêu', 'viễn tưởng']"
https://animetvn.pro/thong-tin-phim/f4236-saijaku-muhai-no-bahamut.html,Saijaku Muhai no Bahamut,Undefeated Bahamut Chronicle,"['hành động', 'học đường', 'ecchi', 'harem', 'giả tưởng', 'tình yêu', 'siêu nhiên']"
https://animetvn.pro/thong-tin-phim/f3850-monster-musume-no-iru-nichijou.html,Monster Musume no Iru Nichijou,Everyday Life with Monster Girls,"['học đường', 'hài hước', 'ecchi', 'harem', 'giả tưởng', 'tình yêu', 'seinen']"
https://animetvn.pro/thong-tin-phim/f2645-high-school-dxd-new.html,High School DxD New,High School DxD Dai 2-ki [BD] | High School DxD 2nd Season [BD],"['hành động', 'học đường', 'hài hước', 'ecchi', 'harem', 'tình yêu', 'ác quỷ']"
https://animetvn.pro/thong-tin-phim/f5233-boku-no-hero-academia-3rd-season.html,Boku no Hero Academia 3rd Season,My Hero Academia 3,"['hành động', 'học đường', 'hài hước', 'shounen', 'siêu năng lực']"
https://animetvn.pro/thong-tin-phim/f5433-one-punch-man-2nd-season.html,One Punch Man 2nd Season,"One Punch-Man 2, One-Punch Man 2, OPM 2","['hành động', 'hài hước', 'siêu nhiên', 'siêu năng lực', 'parody', 'viễn tưởng', 'seinen']"
https://animetvn.pro/thong-tin-phim/f4764-rokudenashi-majutsu-koushi-to-akashic-records.html,Rokudenashi Majutsu Koushi to Akashic Records,Akashic Records of Bastard Magic Instructor,"['hành động', 'học đường', 'giả tưởng', 'phép thuật']"
https://animetvn.pro/thong-tin-phim/f5626-enen-no-shouboutai.html,Enen no Shouboutai,"Fire Force, Fire Brigade of Flames","['hành động', 'shounen', 'viễn tưởng']"
https://animetvn.pro/thong-tin-phim/f4356-gakusen-toshi-asterisk-2nd-season.html,Gakusen Toshi Asterisk 2nd Season,The Asterisk War: The Academy City on the Water | Academy Battle City Asterisk,"['học đường', 'hài hước', 'ecchi', 'harem', 'giả tưởng', 'tình yêu', 'siêu nhiên', 'viễn tưởng']"
https://animetvn.pro/thong-tin-phim/f3845-charlotte.html,Charlotte,Charlotte,"['học đường', 'drama', 'siêu năng lực']"
