Unnamed: 0,link,title1,title2,genre
78,https://anime47.com/phim/pokemon-2019/m7433.html,Pokemon (2019),Pocket Monsters,"['hành động', 'hài hước', 'phiêu lưu', 'fantasy', 'kid']"
79,https://anime47.com/phim/one-piece-special-6/m2890.html,One Piece Special 6,One Piece - Episode Of Luffy [ Tập Phim Về Luffy: Thám Hiểm Đảo Hand ],"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
80,https://anime47.com/phim/grisaia-no-kajitsu/m4434.html,Grisaia no Kajitsu,Grisaia no Kajitsu,"['drama', 'harem', 'romance', 'psychological']"
81,https://anime47.com/phim/isekai-wa-smartphone-to-tomo-ni/m6292.html,Isekai wa Smartphone to Tomo ni.,Isekai wa Smartphone to Tomo ni. | Smartphon Và Những Người Bạn: Hồi Sinh Ở Thế Giới Khác,"['hài hước', 'phiêu lưu', 'phép thuật', 'harem', 'romance', 'fantasy', 'xuyên không - chuyển kiếp']"
82,https://anime47.com/phim/date-a-live/m7103.html,Date A Live Ⅲ,Date A Live 3rd Season,"['hài hước', 'mecha', 'học đường', 'harem', 'romance', 'viễn tưởng']"
83,https://anime47.com/phim/isekai-maou-to-shoukan-shoujo-no-dorei-majutsu/m6815.html,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,Dị Thế Ma Vương,"['hài hước', 'ecchi', 'phép thuật', 'harem', 'fantasy', 'xuyên không - chuyển kiếp']"
84,https://anime47.com/phim/black-bullet/m4015.html,Black Bullet,Black Bullet,"['hành động', 'viễn tưởng', 'seinen', 'mystery']"
85,https://anime47.com/phim/high-school-dxd-hero/m6573.html,High School DxD Hero,High School DxD Season 4,"['hành động', 'hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'romance', 'demons']"
86,https://anime47.com/phim/rokudenashi-majutsu-koushi-to-akashic-records/m6152.html,Rokudenashi Majutsu Koushi to Akashic Records,Akashic Records of Bastard Magic Instructor,"['hành động', 'phép thuật', 'học đường', 'fantasy']"
87,https://anime47.com/phim/katekyo-hitman-reborn/m1482.html,Katekyo Hitman Reborn,Katekyo Hitman Reborn! | Kateikyoushi Hitman Reborn! | Home Tutor Hitman Reborn!,"['hành động', 'super power', 'siêu nhiên']"
88,https://anime47.com/phim/maken-ki-bd/m2602.html,Maken-ki! Bd,Maken-ki! Battling Venus Bd,"['hành động', 'ecchi', 'học đường', 'harem', 'super power', 'martial arts']"
89,https://anime47.com/phim/to-love-ru-trouble-uncen/m2140.html,To Love-ru Trouble Uncen [bd],To Love-ru Trouble Uncen [bd] | To Love You | Toloveru | Toloveru Trouble | To-rabu-ru | Toraburu,"['hài hước', 'ecchi', 'học đường', 'shounen', 'harem', 'viễn tưởng']"
90,https://anime47.com/phim/than-vo-gia-cu/m5232.html,Thần Vô Gia Cư [SS1-BD],Noragami (Blu-ray),"['hành động', 'phiêu lưu', 'shounen', 'blu-ray', 'siêu nhiên']"
91,https://anime47.com/phim/bakemonogatari/m1620.html,Bakemonogatari [BD],Bakemonogatari | Ghostory (BD),"['hài hước', 'siêu nhiên', 'mystery']"
92,https://anime47.com/phim/one-piece-z/m4689.html,One Piece: Z,One Piece Movie 12 | One Piece Film: Z,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
93,https://anime47.com/phim/one-piece-3d-straw-hat-chase/m4691.html,One Piece 3D: Straw Hat Chase,One Piece Movie 11 | One Piece 3D: Straw Hat Chase,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
94,https://anime47.com/phim/sword-art-online-ii/m5035.html,Sword Art Online II [BD],Sword Art Online 2 [Blu-ray],"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']"
95,https://anime47.com/phim/one-piece-film-gold/m5782.html,One Piece Film: Gold,One Piece Film: Gold,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
96,https://anime47.com/phim/plunderer/m7445.html,Plunderer,Plunderer,"['hành động', 'ecchi', 'shounen', 'fantasy']"
97,https://anime47.com/phim/ore-tachi-ni-tsubasa-wa-nai/m1647.html,Ore-tachi Ni Tsubasa Wa Nai [BD],We Without Wings – Under the Innocent Sky  | Ore-tachi ni Tsubasa wa Nai: Under the Innocent Sky.,"['hài hước', 'ecchi', 'drama', 'harem', 'romance', 'dementia']"
98,https://anime47.com/phim/shimoneta-to-iu-gainen-ga-sonzai-shinai-taikutsu-na-sekai/m5109.html,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai [BD],"A Boring World Where the Concept of Dirty Jokes Doesn't Exist, Shimoseka","['hài hước', 'ecchi', 'học đường']"
99,https://anime47.com/phim/kaguya-sama-wa-kokurasetai-tensai-tachi-no-renai-zunousen/m7105.html,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Kaguya-sama: Love is War,"['hài hước', 'học đường', 'romance', 'seinen', 'psychological']"
100,https://anime47.com/phim/one-piece-special-8/m4319.html,One Piece Special 8,One Piece Special 8 | 3D2Y: Overcome Ace's Death! Luffy's Vow to his Friends,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
101,https://anime47.com/phim/sword-art-online-alicization-dai-chien-underworld/m7374.html,Sword Art Online: Alicization - Đại Chiến Underworld,Sword Art Online: Alicization - War of Underworld | Sword Art Online: Alicization 2nd Season | Sword Art Online III 2nd Season | SAO Alicization 2nd Season | Sword Art Online 3 2nd Season | SAO 3 2nd Season,"['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']"
102,https://anime47.com/phim/chuunibyou-demo-koi-ga-shitai/m2632.html,Chuunibyou Demo Koi Ga Shitai,"Chuunibyou Demo Koi Ga Shitai | Love, Chunibyo & Other Delusions! | Chu-2 Byo Demo Koi Ga Shitai! | Regardless Of My Adolescent Delusions Of Grandeur | I Want A Date!","['hài hước', 'drama', 'học đường', 'đời thường', 'romance']"
103,https://anime47.com/phim/sakurasou-no-pet-na-kanojo/m2663.html,Sakurasou No Pet Na Kanojo [BD],The Pet Girl of Sakurasou [Blu-ray],"['hài hước', 'drama', 'học đường', 'đời thường', 'romance']"
104,https://anime47.com/phim/ore-no-imouto-ga-konnani-kawaii-wake-ga-nai/m1739.html,Ore no Imouto ga Konnani Kawaii Wake ga Nai,OreImo | Ore no Imouto ga Konnani Kawaii Wake ga Nai | My Little Sister Can't Be This Cute ,"['hài hước', 'đời thường']"
